,freq,index,p_sg,p_sa,p_pm
0,1.0 GHz,1,-5,-23.59,-6.04E+00
1,1.0 GHz,2,-4.8,-23.38,-5.83E+00
2,1.0 GHz,3,-4.6,-23.18,-5.63E+00
3,1.0 GHz,4,-4.4,-22.99,-5.43E+00
4,1.0 GHz,5,-4.2,-22.79,-5.23E+00
5,1.0 GHz,6,-4,-22.58,-5.03E+00
6,1.0 GHz,7,-3.8,-22.39,-4.82E+00
7,1.0 GHz,8,-3.6,-22.17,-4.60E+00
8,1.0 GHz,9,-3.4,-21.96,-4.40E+00
9,1.0 GHz,10,-3.2,-21.76,-4.20E+00
10,1.0 GHz,11,-3,-21.57,-4.00E+00
11,1.0 GHz,12,-2.8,-21.37,-3.80E+00
12,1.0 GHz,13,-2.6,-21.17,-3.60E+00
13,1.0 GHz,14,-2.4,-20.97,-3.40E+00
14,1.0 GHz,15,-2.2,-20.77,-3.20E+00
15,1.0 GHz,16,-2,-20.57,-3.00E+00
16,1.0 GHz,17,-1.8,-20.37,-2.80E+00
17,1.0 GHz,18,-1.6,-20.17,-2.61E+00
18,1.0 GHz,19,-1.4,-19.98,-2.41E+00
19,1.0 GHz,20,-1.2,-19.78,-2.21E+00
20,1.0 GHz,21,-1,-19.58,-2.00E+00
21,1.0 GHz,22,-0.8,-19.38,-1.80E+00
22,1.0 GHz,23,-0.6,-19.18,-1.60E+00
23,1.0 GHz,24,-0.4,-18.98,-1.40E+00
24,1.0 GHz,25,-0.2,-18.78,-1.20E+00
25,1.0 GHz,26,2.1649348980190553e-15,-18.57,-9.92E-01
26,1.0 GHz,27,0.20000000000000218,-18.39,-8.04E-01
27,1.0 GHz,28,0.4000000000000022,-18.18,-5.98E-01
28,1.0 GHz,29,0.6000000000000022,-17.98,-3.97E-01
29,1.0 GHz,30,0.8000000000000023,-17.78,-1.96E-01
30,1.0 GHz,31,1.0000000000000022,-17.58,5.76E-03
31,1.0 GHz,32,1.2000000000000022,-17.38,2.04E-01
32,1.0 GHz,33,1.4000000000000021,-17.18,4.05E-01
33,1.0 GHz,34,1.600000000000002,-16.98,6.06E-01
34,1.0 GHz,35,1.800000000000002,-16.78,8.07E-01
35,1.0 GHz,36,2.000000000000002,-16.58,1.01E+00
